[Header],,,,,,,,,,
Investigator Name,Ramon Bossardi ,,,,,,,,,
Project Name,DNA Methylation EPIC,,,,,,,,,
Experiment Name,2.05E+11,,,,,,,,,
Date,30-Jun-21,,,,,,,,,
,,,,,,,,,,
[Data],,,,,,,,,,
Sample_Name,Sample_Well,Sample_Plate,Sample_Group,Pool_ID,Sentrix_ID,Sentrix_Position,,,,
PBS_exp2_1_96,,,PBS_96wash,,205657380094,R07C01,205657380094_R07C01,,,205657380094_R07C01
PBS_exp3_1_96,,,PBS_96wash,,205657380094,R08C01,205657380094_R08C01,,,205657380094_R08C01
PBS_exp2_2_96,,,PBS_96wash,,205657380096,R07C01,205657380096_R07C01,,,205657380096_R07C01
PBS_exp3_2_96,,,PBS_96wash,,205657380096,R08C01,205657380096_R08C01,,,205657380096_R08C01
IL6_exp2_1_96,,,IL6_96wash,,205657380094,R05C01,205657380094_R05C01,,,205657380094_R05C01
IL6_exp3_1_96,,,IL6_96wash,,205657380094,R06C01,205657380094_R06C01,,,205657380094_R06C01
IL6_exp2_2_96,,,IL6_96wash,,205657380096,R05C01,205657380096_R05C01,,,205657380096_R05C01
IL6_exp3_2_96,,,IL6_96wash,,205657380096,R06C01,205657380096_R06C01,,,205657380096_R06C01
PBS_exp2_1_72,,,PBS_72hrs,,205657380094,R03C01,205657380094_R03C01,,,205657380094_R03C01
PBS_exp3_1_72,,,PBS_72hrs,,205657380094,R04C01,205657380094_R04C01,,,205657380094_R04C01
PBS_exp2_2_72,,,PBS_72hrs,,205657380096,R03C01,205657380096_R03C01,,,205657380096_R03C01
PBS_exp3_2_72,,,PBS_72hrs,,205657380096,R04C01,205657380096_R04C01,,,205657380096_R04C01
PBS_exp1_1_72,,,PBS_72hrs,,205045550087,R01C01,205045550087_R01C01,,,205045550087_R01C01
PBS_exp1_2_72,,,PBS_72hrs,,205045550087,R02C01,205045550087_R02C01,,,205045550087_R02C01
IL6_exp2_1_72,,,IL6_72hrs,,205657380094,R01C01,205657380094_R01C01,,,205657380094_R01C01
IL6_exp3_1_72,,,IL6_72hrs,,205657380094,R02C01,205657380094_R02C01,,,205657380094_R02C01
IL6_exp2_2_72,,,IL6_72hrs,,205657380096,R01C01,205657380096_R01C01,,,205657380096_R01C01
IL6_exp3_2_72,,,IL6_72hrs,,205657380096,R02C01,205657380096_R02C01,,,205657380096_R02C01
IL6_exp1_1_72,,,IL6_72hrs,,205045550087,R03C01,205045550087_R03C01,,,205045550087_R03C01
IL6_exp1_2_72,,,IL6_72hrs,,205045550087,R04C01,205045550087_R04C01,,,205045550087_R04C01
IL6_exp1_3_72,,,IL6_72hrs,,205045550087,R05C01,205045550087_R05C01,,,205045550087_R05C01